attendee_type_id,attendee_type_name,country_name,city_name,demora15min,nom_week_day,attendees
37681,Sellers,Colombia,Bogotá,0,Thu,1
3852,Consultant,Ecuador,Quito,30,Tue,16
330,Student,Colombia,Medellín,0,Thu,31
42578,Buyers,Colombia,Bogotá,15,Mon,1
40177,Buyers,Colombia,Bogotá,0,Thu,1
35958,Student,Chile,La Florida,30,Thu,1
36212,Student,France,Paris,0,Thu,1
42324,Staff,Chile,Vitacura,0,Thu,175
38130,Sellers,Colombia,Bogotá,0,Thu,1
3022,Sponsors,Colombia,Medellín,75,Fri,1
2565,Asistant,Colombia,Medellín,60,Fri,6
40237,Sellers,Colombia,Bogotá,15,Sat,4
39078,Consultant,France,Lille,0,Tue,10
3022,Consultant,Colombia,Medellín,> 120,Fri,4
38527,Staff,Chile,Santiago,15,Fri,2
35982,Visitors,Chile,Providencia,0,Wed,1
36818,Buyers,Colombia,Medellín,105,Fri,1
42329,Student,Colombia,Medellín,60,Wed,1
39583,Buyers,Colombia,Bogotá,15,Wed,1
2438,Student,Colombia,Medellín,105,Thu,3
39336,Sellers,Mexico,Mexico City,75,Tue,14
1038,Staff,Colombia,Medellín,0,Wed,92
563,Buyers,Colombia,Ríonegro,0,Tue,60
40467,Visitors,Colombia,Bogotá,0,Tue,3
36187,Exhibitors,Argentina,Buenos Aires,> 120,Thu,13
34069,Exhibitors,France,Paris,0,Wed,49
39625,Buyers,Colombia,Bogotá,15,Thu,3
2323,Student,Colombia,Medellín,45,Tue,1
37186,Student,Colombia,Bogotá,0,Wed,4
2087,Student,Colombia,Bogotá,15,Mon,8
33502,Student,Colombia,Medellín,0,Thu,21
40161,Buyers,Colombia,Bogotá,60,Thu,3
38963,Asistant,Colombia,Apartadó,30,Wed,3
41146,Consultant,Chile,Las Condes,0,Wed,4
37597,Consultant,Colombia,Bogotá,15,Thu,1
1046,Consultant,Colombia,Medellín,0,Thu,65
40083,Buyers,Colombia,Bogotá,30,Wed,1
42329,Student,Colombia,Medellín,0,Wed,62
2601,Regulators,Colombia,Bogotá,90,Tue,6
41000,Buyers,Colombia,Bogotá,30,Tue,1
3603,Staff,Ecuador,Quito,75,Thu,1
39718,Buyers,Colombia,Bogotá,30,Thu,1
41596,Student,Colombia,Bogotá,0,Thu,12
39413,Exhibitors,Colombia,Barranquilla,60,Wed,1
40964,Student,Colombia,Bogotá,0,Thu,2
3729,Student,Colombia,Bogotá,30,Thu,2
36073,Student,Colombia,Bogotá,15,Tue,3
4199,Buyers,Colombia,Bogotá,45,Tue,4
2564,Consultant,Colombia,Bogotá,120,Tue,3
2565,Asistant,Colombia,Medellín,30,Fri,21
43023,Buyers,Colombia,Bogotá,> 120,Wed,4
2514,Regulators,Colombia,Bogotá,15,Thu,3
3945,Sellers,Spain,Madrid,0,Wed,7
42269,Regulators,Colombia,Bogotá,0,Tue,7
1118,Buyers,Colombia,Medellín,0,Thu,5
39827,Consultant,Colombia,Bogotá,> 120,Fri,3
41331,Staff,Colombia,Bogotá,15,Wed,1
1677,Student,Colombia,Medellín,0,Mon,39
39715,Buyers,Colombia,Bogotá,0,Thu,4
39747,Student,Chile,Vitacura,45,Fri,1
40810,Staff,Chile,Santiago,120,Thu,1
38925,Regulators,Colombia,Bogotá,15,Tue,1
39733,Sellers,Colombia,Bogotá,75,Tue,1
2515,Regulators,Colombia,Bogotá,75,Thu,6
40850,Consultant,Colombia,Bogotá,15,Thu,1
43442,Consultant,Colombia,Bogotá,15,Wed,1
40437,Consultant,Colombia,Bogotá,15,Wed,1
3023,Visitors,Colombia,Medellín,> 120,Fri,2
2515,Regulators,Colombia,Bogotá,45,Thu,1
3555,Asistant,Colombia,Ríonegro,45,Fri,5
38497,Buyers,Colombia,Bogotá,15,Wed,11
3022,Sponsors,Colombia,Medellín,60,Fri,1
42867,Consultant,Colombia,Bogotá,30,Tue,1
2622,Asistant,Colombia,Apartadó,> 120,Fri,2
36137,Buyers,Colombia,Medellín,0,Wed,4
1992,Student,Colombia,Bogotá,75,Thu,10
39652,Buyers,France,Paris,30,Fri,4
35565,Regulators,Colombia,Bogotá,0,Wed,6
2519,Consultant,Colombia,Bogotá,90,Thu,1
35839,Regulators,Colombia,Bogotá,15,Thu,3
40810,Exhibitors,Chile,Santiago,45,Thu,2
36996,Regulators,Colombia,Bogotá,0,Wed,2
36310,Student,Chile,La Florida,15,Wed,1
35836,Student,Colombia,Bogotá,0,Thu,22
3858,Student,Ecuador,Cuenca,60,Tue,4
1018,Consultant,Spain,Madrid,0,Sat,2
41729,Student,Colombia,Ríonegro,75,Wed,17
36014,Student,Chile,La Florida,15,Fri,1
38654,Buyers,Colombia,Bogotá,15,Fri,8
41614,Student,Colombia,Bogotá,0,Wed,11
38796,Student,Colombia,Medellín,30,Wed,2
35909,Student,Colombia,Bogotá,15,Thu,2
3847,Student,Colombia,Medellín,45,Fri,1
41487,Asistant,Colombia,Medellín,60,Sat,1
3023,Staff,Colombia,Medellín,> 120,Fri,1
3777,Student,Colombia,Medellín,60,Tue,1
2564,Buyers,Colombia,Bogotá,45,Tue,1
37385,Student,Colombia,Bogotá,0,Tue,4
37753,Student,Chile,Providencia,90,Wed,4
39419,Sponsors,Colombia,Barranquilla,90,Wed,1
39652,Consultant,France,Paris,60,Fri,1
39827,Student,Colombia,Bogotá,90,Fri,1
36061,Student,Colombia,Bogotá,15,Sat,3
40254,Buyers,Colombia,Bogotá,0,Thu,2
42357,Consultant,Colombia,Bogotá,0,Thu,1
3022,Student,Colombia,Medellín,0,Fri,17
37334,Student,Colombia,Bogotá,30,Wed,6
37010,Student,Chile,La Florida,45,Wed,8
38194,Exhibitors,Colombia,Medellín,> 120,Wed,1
39625,Buyers,Colombia,Bogotá,45,Thu,1
41935,Visitors,Colombia,Bogotá,45,Wed,1
38294,Student,Colombia,Bogotá,0,Thu,1
37677,Staff,Chile,La Florida,> 120,Thu,1
42366,Sellers,Colombia,Bogotá,0,Mon,1
41420,Student,Chile,Providencia,0,Wed,4
40757,Student,Colombia,Medellín,60,Fri,10
37766,Sellers,France,Paris,0,Thu,64
40537,Buyers,Colombia,Bogotá,0,Mon,1
39856,Consultant,Colombia,Bogotá,60,Thu,1
3955,Consultant,France,Paris,0,Mon,7
36938,Student,Colombia,Bogotá,0,Wed,2
3777,Student,Colombia,Medellín,15,Tue,2
40595,Student,Colombia,Medellín,105,Fri,11
41823,Sellers,Colombia,Bogotá,> 120,Wed,1
42358,Student,Colombia,Bogotá,30,Thu,4
39413,Exhibitors,Colombia,Barranquilla,0,Wed,1
39827,Buyers,Colombia,Bogotá,30,Fri,26
3830,Student,Colombia,Medellín,30,Thu,1
3329,Consultant,France,Bordeaux,0,Tue,40
42324,Staff,Chile,Vitacura,75,Thu,3
42276,Visitors,Chile,Santiago,> 120,Thu,8
43440,Consultant,Colombia,Bogotá,60,Wed,1
38998,Consultant,Colombia,Apartadó,0,Wed,3
42186,Student,Colombia,Medellín,105,Tue,1
38527,Staff,Chile,Santiago,30,Fri,1
42174,Student,Colombia,Bogotá,0,Wed,8
38654,Sellers,Colombia,Bogotá,30,Fri,1
42994,Buyers,Colombia,Bogotá,30,Wed,1
37317,Student,Colombia,Bogotá,120,Fri,1
2234,Exhibitors,Colombia,Medellín,90,Wed,1
3022,Regulators,Colombia,Medellín,0,Fri,1
41054,Consultant,Colombia,Bogotá,0,Tue,4
2384,Student,Colombia,Medellín,> 120,Fri,44
2622,Asistant,Colombia,Apartadó,45,Fri,12
39185,Sponsors,France,Toulouse,0,Wed,22
40724,Student,Colombia,Medellín,15,Wed,13
41376,Exhibitors,Chile,Las Condes,0,Tue,36
37750,Exhibitors,France,Montpellier,> 120,Wed,10
37570,Student,Colombia,Bogotá,0,Wed,3
3858,Student,Ecuador,Cuenca,90,Tue,1
3603,Regulators,Ecuador,Quito,120,Thu,1
673,Buyers,Colombia,Medellín,0,Wed,5
